source_image_id,provider_split,current_count,v4_count,delta,current_classes,v4_classes,added_class_counts,removed_class_counts,relabelled,reshaped_matches,match_status,notes
0CHrBSJAmY24quC0QSYA,train,2,2,0,person=2,person=2,,,,0,unchanged,
0OEuk7X9WrM64hqQbedA,train,3,3,0,helmet_loose=1;person=1;vest_on_body=1,helmet_loose=1;person=1;vest_on_body=1,,,,0,unchanged,
0Orp0pwbiOU0MIg0a28r,train,1,1,0,person=1,person=1,,,,0,unchanged,
0TCko19jiO1CcXl2vqsd,train,12,12,0,helmet_on_head=4;person=4;vest_on_body=4,helmet_on_head=4;person=4;vest_on_body=4,,,,1,modified_in_place,
0ajF0d1eniugei3qRqvl,train,4,3,1,helmet_on_head=1;person=1;vest_on_body=2,helmet_on_head=1;person=1;vest_on_body=1,vest_on_body=1,,,1,added_only,
0ejTKqobP0Z7bG7iS1dF,train,3,3,0,helmet_loose=1;helmet_on_head=1;person=1,helmet_loose=1;helmet_on_head=1;person=1,,,,0,unchanged,
0fMloNWonp8DEQff6L2n,train,3,3,0,person=3,person=3,,,,0,unchanged,
0g77gkQGLuqJIxRBDCMC,train,2,2,0,helmet_on_head=1;person=1,helmet_on_head=1;person=1,,,,0,unchanged,
0sRAfq8grYqMA2xuCHP6,valid,12,12,0,helmet_on_head=4;person=4;vest_on_body=4,helmet_on_head=4;person=4;vest_on_body=4,,,,1,modified_in_place,
0vIelRhK7EUfEcEMkBV0,train,9,9,0,helmet_on_head=3;person=3;vest_on_body=3,helmet_on_head=3;person=3;vest_on_body=3,,,,0,unchanged,
1BVaqcupKpVSmlh5tncK,train,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
1XJO4jpZ1EjuFK7M5WzU,test,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
1dnS0NtMgQN35Eb4GNTe,train,3,3,0,vest_loose=3,vest_loose=3,,,,0,unchanged,
1zBF8eW6TRm4IBAb3Kwv,train,4,4,0,person=4,person=4,,,,0,unchanged,
2Qh4yEmcE64JRJXTM10C,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
2estUvSXu4usdh4plcAm,train,11,11,0,helmet_loose=1;helmet_on_head=2;person=5;vest_on_body=3,helmet_loose=1;helmet_on_head=2;person=5;vest_on_body=3,,,,0,unchanged,
2qD9FzEoqf4Rsihf6kf7,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
35kJU6sOxBnL8qucfgHx,train,4,4,0,helmet_on_head=2;person=2,helmet_on_head=2;person=2,,,,0,unchanged,
3INKyAoeOEbPQKuxINbX,train,25,25,0,person=18;vest_on_body=7,person=18;vest_on_body=7,,,,2,modified_in_place,
3LUOWEww9aCx2Cx4B38y,train,1,1,0,person=1,person=1,,,,0,unchanged,
3wdTWWyA3a9YrQ9EfLc9,train,4,4,0,helmet_on_head=1;person=2;vest_on_body=1,helmet_on_head=1;person=2;vest_on_body=1,,,,0,unchanged,
4UEcuYsspsOsSV0XYgSR,valid,1,1,0,helmet_loose=1,helmet_loose=1,,,,0,unchanged,
4XETInqs70Y4H9ry55k3,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
4ajEucaVD61th8hqHdux,train,1,1,0,person=1,person=1,,,,0,unchanged,
4baqXpqm2eXB2CHZWkM9,train,5,5,0,person=5,person=5,,,,2,modified_in_place,
4ezyg6KhKI36ubNpMX1z,train,3,3,0,helmet_on_head=1;person=1;vest_on_body=1,helmet_on_head=1;person=1;vest_on_body=1,,,,0,unchanged,
5fj7MBBP6mq9NtLfV51m,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
5p4hDwmBcrn3EI04GmlA,test,4,3,1,helmet_on_head=1;person=1;vest_on_body=2,helmet_on_head=1;person=1;vest_on_body=1,vest_on_body=2,vest_on_body=1,,0,added_and_removed,
5tvMIxMJkb5Hp9bD8hBw,train,1,1,0,person=1,person=1,,,,0,unchanged,
5xqkoD8kcbQ7JWIll2KF,train,22,22,0,helmet_on_head=7;person=8;vest_on_body=7,helmet_on_head=7;person=8;vest_on_body=7,,,,15,modified_in_place,
5z8XJfD2gto4gT3gwPAK,test,4,4,0,helmet_on_head=1;person=2;vest_on_body=1,helmet_on_head=1;person=2;vest_on_body=1,,,,0,unchanged,
60TqAIaOldetEAmBqqMX,test,0,0,0,,,,,,0,unchanged,
619mdz3TlcOedTGFv0za,valid,1,1,0,person=1,person=1,,,,0,unchanged,
62UoaBv0beM5cBLCubmT,train,0,0,0,,,,,,0,unchanged,
66p9gzaQFGcmQA2v40Of,train,2,2,0,person=1;vest_on_body=1,person=1;vest_on_body=1,,,,0,unchanged,
6B8gSWbJYQFfVadXSWxT,train,4,4,0,person=4,person=4,,,,0,unchanged,
6R3F7WoZUjSohZEFSgXr,train,1,1,0,person=1,person=1,,,,0,unchanged,
6ZHpQueANukCh7UeL4s5,valid,3,3,0,person=2;vest_on_body=1,person=2;vest_on_body=1,,,,1,modified_in_place,
6fMvy2k97BSY0a3P9Fbg,valid,11,11,0,person=11,person=11,,,,1,modified_in_place,
