source_image_id,annotation_id,label,geometry_kind,action,reason,decision_source,geometry_origin,review_flag,bbox,area
0CHrBSJAmY24quC0QSYA,5,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1422.000;826.000;112.000;423.000,25577.000
0CHrBSJAmY24quC0QSYA,4,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,480.000;255.000;647.000;998.000,279907.000
0OEuk7X9WrM64hqQbedA,1,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,762.000;59.000;689.000;1192.000,534907.000
0OEuk7X9WrM64hqQbedA,2,vest_on_body,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,824.000;401.000;465.000;771.000,260416.000
0OEuk7X9WrM64hqQbedA,3,helmet_loose,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1202.000;696.000;202.000;251.000,37307.000
0Orp0pwbiOU0MIg0a28r,3,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,177.000;279.000;628.000;1021.000,414562.000
0TCko19jiO1CcXl2vqsd,1,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,465.000;452.000;156.000;295.000,22246.000
0TCko19jiO1CcXl2vqsd,2,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,980.000;347.000;391.000;611.000,111407.000
0TCko19jiO1CcXl2vqsd,3,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,335.000;494.000;146.000;293.000,26413.000
0TCko19jiO1CcXl2vqsd,4,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,724.000;436.000;312.000;434.000,77920.000
0TCko19jiO1CcXl2vqsd,5,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,433.000;381.000;254.000;686.000,76808.000
0TCko19jiO1CcXl2vqsd,6,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,980.000;231.000;441.000;836.000,160409.000
0TCko19jiO1CcXl2vqsd,7,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,293.000;428.000;230.000;614.000,63610.000
0TCko19jiO1CcXl2vqsd,8,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,698.000;328.000;338.000;739.000,128617.000
0TCko19jiO1CcXl2vqsd,D,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,430.000;380.000;105.000;69.000,4339.000
0TCko19jiO1CcXl2vqsd,C,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,816.000;327.000;101.000;90.000,4191.000
0TCko19jiO1CcXl2vqsd,B,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,333.000;427.000;86.000;77.000,4424.000
0TCko19jiO1CcXl2vqsd,A,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1033.000;369.000;129.000;114.000,5938.000
0ajF0d1eniugei3qRqvl,1,helmet_on_head,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,711.000;309.000;130.000;175.000,14623.000
0ajF0d1eniugei3qRqvl,3,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,622.000;308.000;539.000;576.000,179883.000
0ajF0d1eniugei3qRqvl,5,vest_on_body,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,888.000;376.000;272.000;389.000,48659.000
0ajF0d1eniugei3qRqvl,6,vest_on_body,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,839.000;594.000;28.000;45.000,651.000
0ejTKqobP0Z7bG7iS1dF,1,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,368.000;30.000;835.000;1035.000,579596.000
0ejTKqobP0Z7bG7iS1dF,2,helmet_on_head,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,605.000;31.000;423.000;310.000,95945.000
0ejTKqobP0Z7bG7iS1dF,4,helmet_loose,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,116.000;610.000;270.000;392.000,55393.000
0fMloNWonp8DEQff6L2n,8,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,993.000;1144.000;156.000;206.000,18685.000
0fMloNWonp8DEQff6L2n,7,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1267.000;1189.000;129.000;527.000,38371.000
0fMloNWonp8DEQff6L2n,6,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1140.000;1127.000;164.000;570.000,39440.000
0g77gkQGLuqJIxRBDCMC,1,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,621.000;1360.000;339.000;434.000,83887.000
0g77gkQGLuqJIxRBDCMC,2,helmet_on_head,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,750.000;1360.000;165.000;155.000,14375.000
0sRAfq8grYqMA2xuCHP6,1,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1085.000;512.000;234.000;437.000,69219.000
0sRAfq8grYqMA2xuCHP6,2,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,767.000;510.000;168.000;338.000,18009.000
0sRAfq8grYqMA2xuCHP6,3,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,482.000;497.000;307.000;396.000,82678.000
0sRAfq8grYqMA2xuCHP6,4,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,885.000;569.000;241.000;366.000,15170.000
0sRAfq8grYqMA2xuCHP6,5,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1085.000;397.000;234.000;670.000,103811.000
0sRAfq8grYqMA2xuCHP6,6,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,768.000;413.000;167.000;654.000,50638.000
0sRAfq8grYqMA2xuCHP6,7,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,482.000;369.000;307.000;698.000,134249.000
0sRAfq8grYqMA2xuCHP6,8,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,780.000;468.000;355.000;599.000,44454.000
0sRAfq8grYqMA2xuCHP6,D,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,615.000;368.000;99.000;79.000,3892.000
0sRAfq8grYqMA2xuCHP6,C,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,928.000;467.000;105.000;71.000,4280.000
0sRAfq8grYqMA2xuCHP6,B,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1129.000;397.000;104.000;73.000,5414.000
0sRAfq8grYqMA2xuCHP6,A,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,787.000;413.000;84.000;68.000,3216.000
0vIelRhK7EUfEcEMkBV0,1,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,987.000;340.000;443.000;729.000,160682.000
0vIelRhK7EUfEcEMkBV0,2,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,70.000;360.000;447.000;709.000,161147.000
0vIelRhK7EUfEcEMkBV0,3,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,922.000;481.000;184.000;588.000,25846.000
0vIelRhK7EUfEcEMkBV0,4,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,384.000;70.000;293.000;258.000,39297.000
0vIelRhK7EUfEcEMkBV0,5,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1008.000;33.000;301.000;240.000,38844.000
0vIelRhK7EUfEcEMkBV0,6,helmet_on_head,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,938.000;205.000;126.000;108.000,7769.000
0vIelRhK7EUfEcEMkBV0,7,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,987.000;34.000;443.000;1035.000,333860.000
0vIelRhK7EUfEcEMkBV0,8,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,70.000;71.000;607.000;998.000,336280.000
0vIelRhK7EUfEcEMkBV0,9,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,544.000;206.000;572.000;863.000,141403.000
1BVaqcupKpVSmlh5tncK,3,helmet_loose,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,0.000;73.000;841.000;867.000,550496.000
1XJO4jpZ1EjuFK7M5WzU,1,helmet_loose,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,250.000;105.000;1103.000;870.000,687041.000
1dnS0NtMgQN35Eb4GNTe,6,vest_loose,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,568.000;133.000;483.000;848.000,312734.000
1dnS0NtMgQN35Eb4GNTe,5,vest_loose,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1456.000;337.000;144.000;730.000,68559.000
1dnS0NtMgQN35Eb4GNTe,4,vest_loose,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1456.000;0.000;144.000;1067.000,110204.000
1zBF8eW6TRm4IBAb3Kwv,1,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,261.000;347.000;209.000;371.000,41589.000
1zBF8eW6TRm4IBAb3Kwv,2,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,416.000;72.000;142.000;247.000,22599.000
1zBF8eW6TRm4IBAb3Kwv,3,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,131.000;112.000;162.000;159.000,11838.000
1zBF8eW6TRm4IBAb3Kwv,4,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,605.000;339.000;142.000;379.000,33752.000
2Qh4yEmcE64JRJXTM10C,1,vest_on_body,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,94.000;145.000;255.000;325.000,45967.000
2Qh4yEmcE64JRJXTM10C,2,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,89.000;0.000;452.000;643.000,108123.000
2estUvSXu4usdh4plcAm,5,helmet_loose,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,919.000;806.000;405.000;259.000,80877.000
2estUvSXu4usdh4plcAm,8,helmet_on_head,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,453.000;234.000;162.000;161.000,18492.000
2estUvSXu4usdh4plcAm,9,helmet_on_head,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1073.000;112.000;226.000;141.000,23706.000
2estUvSXu4usdh4plcAm,E,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,861.000;380.000;271.000;356.000,44175.000
2estUvSXu4usdh4plcAm,D,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,295.000;343.000;280.000;373.000,33061.000
2estUvSXu4usdh4plcAm,C,vest_on_body,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,1153.000;298.000;447.000;604.000,100789.000
2estUvSXu4usdh4plcAm,K,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,296.000;234.000;324.000;596.000,115702.000
2estUvSXu4usdh4plcAm,J,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,837.000;270.000;313.000;564.000,101298.000
2estUvSXu4usdh4plcAm,I,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,578.000;270.000;335.000;540.000,95654.000
2estUvSXu4usdh4plcAm,H,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,11.000;433.000;469.000;499.000,128623.000
2estUvSXu4usdh4plcAm,G,person,RLE,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,844.000;110.000;756.000;957.000,315376.000
2qD9FzEoqf4Rsihf6kf7,1,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,106.000;73.000;658.000;1225.000,560669.000
2qD9FzEoqf4Rsihf6kf7,2,vest_on_body,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,205.000;317.000;426.000;714.000,240282.000
35kJU6sOxBnL8qucfgHx,1,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,393.000;33.000;607.000;941.000,215162.000
35kJU6sOxBnL8qucfgHx,2,helmet_on_head,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,776.000;30.000;121.000;100.000,7290.000
35kJU6sOxBnL8qucfgHx,3,person,POLYGON,KEEP,CANONICAL_PROVIDER_SEGMENTATION,PHASE_5B_CANONICALIZATION,PROVIDER_SEGMENTATION,,865.000;44.000;292.000;977.000,153050.000
