image_id,ppe_class,ppe_score,relationship,category_geometry_isolating,category_pipeline_level,mask_containment_best,box_containment_best,mask_to_box_fill_ratio,person_candidates
0sRAfq8grYqMA2xuCHP6,vest_on_body,0.8249,vest_to_person,BOTH_ASSOCIATED_DIFFERENT_PERSON,BOTH_ASSOCIATED_DIFFERENT_PERSON,0.97168,1.0,0.61329,8
u4uGaDsy2tThEpOEs5TM,helmet_on_head,0.8467,helmet_to_person,BOX_ONLY_ASSOCIATION,BOX_ONLY_ASSOCIATION,0.000627,1.0,0.861634,3
eK6ftnVVMa7WC57HMKWj,helmet_loose,0.4802,helmet_to_person,BOX_ONLY_ASSOCIATION,BOX_ONLY_ASSOCIATION,0.0,0.759331,0.636737,2
HvvG43BEgtvO5Az8qBX5,helmet_on_head,0.9106,helmet_to_person,BOX_ONLY_ASSOCIATION,BOX_ONLY_ASSOCIATION,0.302434,0.973078,0.604375,4
Sx8zzDNF7sd2E0aaDtN8,helmet_loose,0.4913,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.228248,0.630892,5
UzXLvGMEvzoOvv29dkyY,helmet_loose,0.9004,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.011855,0.122689,0.87216,2
A2iSTnVfTHioOl73tkQd,helmet_on_head,0.3004,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.955874,2
GKGcxwlCacsz6brHHLRV,helmet_loose,0.6873,helmet_to_person,NEITHER_ASSOCIATION,BOX_ONLY_ASSOCIATION,0.0,0.0,0.644668,0
GKGcxwlCacsz6brHHLRV,helmet_loose,0.2794,helmet_to_person,NEITHER_ASSOCIATION,BOX_ONLY_ASSOCIATION,0.0,0.0,0.488655,0
JSKtWAeEIHCqkNcipvGH,helmet_loose,0.2838,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.785798,2
L51HLb9pTcXWg0hlY2eI,helmet_loose,0.3736,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.657056,0
Mbgd4Kw22vX5vdWxqfRn,helmet_loose,0.5081,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.727529,0
Mbgd4Kw22vX5vdWxqfRn,vest_loose,0.5239,vest_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.445045,0
Mbgd4Kw22vX5vdWxqfRn,vest_loose,0.3896,vest_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.618413,0
Mbgd4Kw22vX5vdWxqfRn,vest_loose,0.3648,vest_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.604749,0
Mbgd4Kw22vX5vdWxqfRn,vest_loose,0.3559,vest_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.663334,0
UzXLvGMEvzoOvv29dkyY,helmet_loose,0.8746,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.746717,2
WRFgtFooB6kjdViPXWHk,helmet_loose,0.9586,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.673015,0
WeIamb2srt7SBgcfAFq1,helmet_loose,0.5496,helmet_to_person,NEITHER_ASSOCIATION,BOX_ONLY_ASSOCIATION,0.0,0.0,0.609048,0
WeIamb2srt7SBgcfAFq1,helmet_loose,0.4323,helmet_to_person,NEITHER_ASSOCIATION,NEITHER_ASSOCIATION,0.0,0.0,0.787264,0
