execution_position,execution_pass,benchmark_rank,source_image_id,model,timing_type,count,mean,median,std,min,max
0,PASS_A_DETECTOR_FIRST,0,L51HLb9pTcXWg0hlY2eI,D2,MODEL_INFERENCE_LATENCY_MS,30,4.503983,4.49755,0.112103,4.3115,4.7653
0,PASS_A_DETECTOR_FIRST,0,L51HLb9pTcXWg0hlY2eI,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.16231,7.9148,1.199696,7.0219,13.7845
1,PASS_A_DETECTOR_FIRST,0,L51HLb9pTcXWg0hlY2eI,S1,MODEL_INFERENCE_LATENCY_MS,30,5.248653,5.1767,0.312726,4.9844,6.7737
1,PASS_A_DETECTOR_FIRST,0,L51HLb9pTcXWg0hlY2eI,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.411377,8.3147,0.294523,8.0998,9.3528
2,PASS_A_DETECTOR_FIRST,1,feq9UuxoWtVRBPUnMr4G,D2,MODEL_INFERENCE_LATENCY_MS,30,4.54315,4.4806,0.201026,4.2888,5.3404
2,PASS_A_DETECTOR_FIRST,1,feq9UuxoWtVRBPUnMr4G,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,12.900917,13.8407,1.640316,9.6193,14.3951
3,PASS_A_DETECTOR_FIRST,1,feq9UuxoWtVRBPUnMr4G,S1,MODEL_INFERENCE_LATENCY_MS,30,11.156387,11.17235,0.242681,10.5416,11.9331
3,PASS_A_DETECTOR_FIRST,1,feq9UuxoWtVRBPUnMr4G,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,15.820283,15.9985,0.889166,13.4245,16.7463
4,PASS_A_DETECTOR_FIRST,2,pMftFzW2M3bmHHBJOTG2,D2,MODEL_INFERENCE_LATENCY_MS,30,6.64222,4.62725,2.411384,4.5166,9.6496
4,PASS_A_DETECTOR_FIRST,2,pMftFzW2M3bmHHBJOTG2,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,6.387283,6.20225,0.474994,6.0559,7.8277
5,PASS_A_DETECTOR_FIRST,2,pMftFzW2M3bmHHBJOTG2,S1,MODEL_INFERENCE_LATENCY_MS,30,5.279317,5.28445,0.081094,5.1231,5.4365
5,PASS_A_DETECTOR_FIRST,2,pMftFzW2M3bmHHBJOTG2,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,8.104663,8.10895,0.140689,7.8598,8.4402
6,PASS_A_DETECTOR_FIRST,3,sCBw5cHMoREKazVjQfkj,D2,MODEL_INFERENCE_LATENCY_MS,30,8.725857,9.67845,2.153837,4.3891,10.4198
6,PASS_A_DETECTOR_FIRST,3,sCBw5cHMoREKazVjQfkj,D2,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,13.88759,13.85555,0.300472,13.3285,14.4176
7,PASS_A_DETECTOR_FIRST,3,sCBw5cHMoREKazVjQfkj,S1,MODEL_INFERENCE_LATENCY_MS,30,10.643077,11.1653,1.621582,5.4056,12.0235
7,PASS_A_DETECTOR_FIRST,3,sCBw5cHMoREKazVjQfkj,S1,END_TO_END_MODEL_OUTPUT_LATENCY_MS,30,22.381947,24.3282,4.418109,15.5159,29.4292
