benchmark_order,source_image_id,split,stable_rank_sha256
0,L51HLb9pTcXWg0hlY2eI,validation,0188c5066a10f3afa77e3380d8090995ba33d7108ae62ec25d3014e5269ff963
1,feq9UuxoWtVRBPUnMr4G,validation,04cfa2e1fee6fa3e4c9a6996d8df9b3ff0cddca41e5a283d8cb04fd99b5bd694
2,pMftFzW2M3bmHHBJOTG2,validation,0659515c71c279e072616a43e9b40f04d6711acd88c9adb8bf0f2a7a3e4e2750
3,sCBw5cHMoREKazVjQfkj,validation,0734b905cd568d7b8c16c8b5a4760ec226871d077d4ad6a8daa7c22fb6d53076
4,u4uGaDsy2tThEpOEs5TM,validation,07bc190111cdd2f56e9d9e8f08ce91806bc14534f776fab6f59e4b36e0039ba1
5,NSxOF60pUyiloAjZa1zY,validation,0ab2e03a555538788932c0e9335562378ef62bf18e3f043fafa2bcf627b3849d
6,eK6ftnVVMa7WC57HMKWj,validation,0f2cfb8baf8e86fc73e5161d5e8a10a456e9c8de08ff5bf91854e2b7e0dc0128
7,o0SiQwUZ5uRlCXASCtiR,validation,11dfdf127a4235088f77590dc4d4d658551c9e1267ebe8005c8575a9036e32cc
8,CDbWzCeakwV73xXd2qlq,validation,19bcfc5b934f1dbfa6c1c0fd45c90b9db8b601cb3220429f9c67556c36620d9b
9,7VMQ21x6vDuAvoY6Ku2F,validation,1cf276492c146767a24f4f0ac8f402cc9cc052642a536ccd433e0be7bcb04ac0
10,ahfMFVQYlwiC5qDCiYTe,validation,212168fcbeeedc077d9e62c1c3b92bc744c62580cfb083a8a8f98f4fcfc527e0
11,nXwfWz2We6dOnsyzeEno,validation,2326dada3892407858e69520cd6631145f28115dd0dc7db43e79693aa9ff8d4c
12,3LUOWEww9aCx2Cx4B38y,validation,29a461ef58e371c041df44ebab615d49efc22ce70db6e8c7d60f4ca7516bcb8b
13,d1LRdQbKYoIKVWX76Mj1,validation,2b879dcd39e5dc764834a0deccb476afad4d6b419ee4d0d484c27e4073dd12a6
14,yE5PdkrjifxbV7QoD5xc,validation,2c3001dfca64ed46fa3322c952fc14759c6898da4b31065a414dd5c758ba64bb
15,9uyGbpRuvoK6FWsiIhGx,validation,2eb1a0152f063e3f7ecb0d327e49841618ccc5c027f20d1d8901ffa94daceea2
16,qm0fl8ee3HpSLSCrrqDG,validation,2eb728639d954ed56c570f2a3024d642cf4ead28b27075b148cad3c074036322
17,HvvG43BEgtvO5Az8qBX5,validation,31d1bdb4ecfd299557ab1fd1cdbe4699af689584130aa463aaffb214d437992d
18,hsfBHYazMXnS3WJlQzR7,validation,324aee92b146a32a0173f0c6d98148c0a59de874481473b9a897de82a120fab5
19,EdR5Rau43iqKaPKbjsHM,validation,33dfa0af71ed9bef881aa61abe69e00130ef2ffe79b0cbe9dca8d7f658bb8463
