image_id,annotation_id,label,geometry_kind,enclosed_bbox,enclosed_mask,area_ratio,relative_image_area,absolute_area_px,container_id,is_v4_addition
0CHrBSJAmY24quC0QSYA,5,person,RLE,0.0,0.0,1.0,0.01085777,25577.0,,False
0CHrBSJAmY24quC0QSYA,4,person,RLE,0.0,0.0,1.0,0.11882418,279907.0,,False
0OEuk7X9WrM64hqQbedA,1,person,POLYGON,0.0,0.0,1.0,0.22707502,534907.0,,False
0OEuk7X9WrM64hqQbedA,2,vest_on_body,POLYGON,0.0,0.0,1.0,0.11055,260416.0,,False
0OEuk7X9WrM64hqQbedA,3,helmet_loose,POLYGON,0.0,0.0,1.0,0.01583731,37307.0,,False
0Orp0pwbiOU0MIg0a28r,3,person,RLE,0.0,0.0,1.0,0.32707061,414562.0,,False
0TCko19jiO1CcXl2vqsd,1,vest_on_body,RLE,0.087962,0.0,0.84223678,0.01303069,22246.0,3,False
0TCko19jiO1CcXl2vqsd,2,vest_on_body,RLE,0.101733,0.0,1.42976129,0.06525715,111407.0,4,False
0TCko19jiO1CcXl2vqsd,3,vest_on_body,RLE,0.094628,0.0,1.18731457,0.01547153,26413.0,1,False
0TCko19jiO1CcXl2vqsd,4,vest_on_body,RLE,0.179487,0.0,0.69941745,0.04564199,77920.0,2,False
0TCko19jiO1CcXl2vqsd,5,person,RLE,0.317141,0.0,1.2074831,0.04499063,76808.0,7,False
0TCko19jiO1CcXl2vqsd,6,person,RLE,0.11225,0.0,1.2471835,0.09396029,160409.0,8,False
0TCko19jiO1CcXl2vqsd,7,person,RLE,0.391304,0.0,0.82816894,0.03725984,63610.0,5,False
0TCko19jiO1CcXl2vqsd,8,person,RLE,0.16568,0.0,0.80180663,0.07533798,128617.0,6,False
0TCko19jiO1CcXl2vqsd,D,helmet_on_head,RLE,0.0,0.0,1.0,0.00254159,4339.0,,False
0TCko19jiO1CcXl2vqsd,C,helmet_on_head,RLE,0.0,0.0,1.0,0.0024549,4191.0,,False
0TCko19jiO1CcXl2vqsd,B,helmet_on_head,RLE,0.0,0.0,1.0,0.00259138,4424.0,,False
0TCko19jiO1CcXl2vqsd,A,helmet_on_head,RLE,0.0,0.0,1.0,0.00347821,5938.0,,False
0ajF0d1eniugei3qRqvl,1,helmet_on_head,POLYGON,0.0,0.0,1.0,0.00616017,14623.0,,False
0ajF0d1eniugei3qRqvl,3,person,POLYGON,0.0,0.0,1.0,0.0757785,179883.0,,False
0ajF0d1eniugei3qRqvl,5,vest_on_body,POLYGON,0.0,0.0,1.0,0.02049836,48659.0,,False
0ajF0d1eniugei3qRqvl,6,vest_on_body,POLYGON,0.0,0.0,1.0,0.00027424,651.0,,True
0ejTKqobP0Z7bG7iS1dF,1,person,POLYGON,0.0,0.0,1.0,0.33950094,579596.0,,False
0ejTKqobP0Z7bG7iS1dF,2,helmet_on_head,POLYGON,0.0,0.0,1.0,0.05620021,95945.0,,False
0ejTKqobP0Z7bG7iS1dF,4,helmet_loose,POLYGON,0.0,0.0,1.0,0.0324467,55393.0,,False
0fMloNWonp8DEQff6L2n,8,person,RLE,0.057692,0.0,0.47375761,0.00486791,18685.0,6,False
0fMloNWonp8DEQff6L2n,7,person,RLE,0.276481,0.0,0.97289554,0.00999661,38371.0,6,False
0fMloNWonp8DEQff6L2n,6,person,RLE,0.20107,0.0,1.02785958,0.01027511,39440.0,7,False
0g77gkQGLuqJIxRBDCMC,1,person,POLYGON,0.0,0.0,1.0,0.01843508,83887.0,,False
0g77gkQGLuqJIxRBDCMC,2,helmet_on_head,POLYGON,0.0,0.0,1.0,0.00315906,14375.0,,False
0sRAfq8grYqMA2xuCHP6,1,vest_on_body,RLE,0.146746,0.0,4.56288728,0.04054534,69219.0,4,False
0sRAfq8grYqMA2xuCHP6,2,vest_on_body,RLE,0.245668,0.0,1.18714568,0.01054885,18009.0,4,False
0sRAfq8grYqMA2xuCHP6,3,vest_on_body,RLE,0.061165,0.0,4.59092676,0.04842901,82678.0,2,False
0sRAfq8grYqMA2xuCHP6,4,vest_on_body,RLE,0.170124,0.0,0.21915948,0.0088859,15170.0,1,False
0sRAfq8grYqMA2xuCHP6,5,person,RLE,0.191032,0.0,2.33524542,0.06080776,103811.0,8,False
0sRAfq8grYqMA2xuCHP6,6,person,RLE,0.850089,5.9e-05,1.13911009,0.02966143,50638.0,8,False
0sRAfq8grYqMA2xuCHP6,7,person,RLE,0.064092,0.0,2.65115131,0.07863695,134249.0,6,False
0sRAfq8grYqMA2xuCHP6,8,person,RLE,0.43662,6.7e-05,0.87787827,0.02603913,44454.0,6,False
0sRAfq8grYqMA2xuCHP6,D,helmet_on_head,RLE,0.0,0.0,1.0,0.00227976,3892.0,,False
0sRAfq8grYqMA2xuCHP6,C,helmet_on_head,RLE,0.0,0.0,1.0,0.00250703,4280.0,,False
0sRAfq8grYqMA2xuCHP6,B,helmet_on_head,RLE,0.0,0.0,1.0,0.00317127,5414.0,,False
0sRAfq8grYqMA2xuCHP6,A,helmet_on_head,RLE,0.0,0.0,1.0,0.00188379,3216.0,,False
0vIelRhK7EUfEcEMkBV0,1,vest_on_body,RLE,0.216667,0.0,6.2169001,0.09394411,160682.0,3,False
0vIelRhK7EUfEcEMkBV0,2,vest_on_body,RLE,0.0,0.0,1.0,0.09421597,161147.0,,False
