group_id,source_image_id,group_type,group_origin,split_indivisible,notes
manual_dup_001,4UEcuYsspsOsSV0XYgSR,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_001,6hpR44qukoBLy0iFwzip,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_002,FBzxttXYsNSZKcVNofUI,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_002,Um5Oft7wh92nWZzcd33C,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_003,L51HLb9pTcXWg0hlY2eI,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_003,WRFgtFooB6kjdViPXWHk,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_004,OgbeepjjlVIRghzAMurI,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_004,Ud5BlYIB2FSpmLDEEq9z,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_005,THaelQmgDKdUwfSFIAx5,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_005,ymICdUCkVq8IfApx2TvK,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_006,kvlkvPKhlcIlNoa2lJKq,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
manual_dup_006,tjHCOqwRIYw66vZcCHJp,SEMANTIC_DUPLICATE,PHASE_4B_HUMAN_AUDIT,true,visually confirmed as the same content; must not be split apart
singleton-0CHrBSJAmY24quC0QSYA,0CHrBSJAmY24quC0QSYA,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0OEuk7X9WrM64hqQbedA,0OEuk7X9WrM64hqQbedA,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0Orp0pwbiOU0MIg0a28r,0Orp0pwbiOU0MIg0a28r,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0TCko19jiO1CcXl2vqsd,0TCko19jiO1CcXl2vqsd,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0ajF0d1eniugei3qRqvl,0ajF0d1eniugei3qRqvl,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0ejTKqobP0Z7bG7iS1dF,0ejTKqobP0Z7bG7iS1dF,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0fMloNWonp8DEQff6L2n,0fMloNWonp8DEQff6L2n,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0g77gkQGLuqJIxRBDCMC,0g77gkQGLuqJIxRBDCMC,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0sRAfq8grYqMA2xuCHP6,0sRAfq8grYqMA2xuCHP6,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-0vIelRhK7EUfEcEMkBV0,0vIelRhK7EUfEcEMkBV0,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-1BVaqcupKpVSmlh5tncK,1BVaqcupKpVSmlh5tncK,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
singleton-1XJO4jpZ1EjuFK7M5WzU,1XJO4jpZ1EjuFK7M5WzU,SINGLETON,DEFAULT_ONE_IMAGE_PER_GROUP,true,
