group_id,image_count,zero_instance_image_count,group_type,has_helmet_loose,has_helmet_on_head,has_person,has_vest_loose,has_vest_on_body,images_with_helmet_loose,images_with_helmet_on_head,images_with_person,images_with_vest_loose,images_with_vest_on_body,instances_helmet_loose,instances_helmet_on_head,instances_person,instances_vest_loose,instances_vest_on_body,total_instances
manual_dup_001,2,0,SEMANTIC_DUPLICATE,true,false,false,false,false,2,0,0,0,0,2,0,0,0,0,2
manual_dup_002,2,0,SEMANTIC_DUPLICATE,false,true,true,false,false,0,1,2,0,0,0,1,6,0,0,7
manual_dup_003,2,0,SEMANTIC_DUPLICATE,true,false,false,false,false,2,0,0,0,0,4,0,0,0,0,4
manual_dup_004,2,0,SEMANTIC_DUPLICATE,false,true,true,false,true,0,2,2,0,2,0,2,2,0,2,6
manual_dup_005,2,0,SEMANTIC_DUPLICATE,true,false,true,false,false,2,0,2,0,0,2,0,2,0,0,4
manual_dup_006,2,0,SEMANTIC_DUPLICATE,false,true,true,false,true,0,2,2,0,2,0,2,2,0,2,6
manual_dup_007,2,0,SEMANTIC_DUPLICATE,false,false,true,false,false,0,0,2,0,0,0,0,2,0,0,2
manual_dup_008,2,0,SEMANTIC_DUPLICATE,false,false,true,false,true,0,0,2,0,2,0,0,2,0,2,4
manual_dup_009,2,0,SEMANTIC_DUPLICATE,true,false,false,false,false,2,0,0,0,0,2,0,0,0,0,2
manual_dup_010,2,0,SEMANTIC_DUPLICATE,true,false,false,true,false,2,0,0,2,0,10,0,0,13,0,23
manual_dup_011,2,0,SEMANTIC_DUPLICATE,true,false,false,false,false,2,0,0,0,0,83,0,0,0,0,83
singleton-0CHrBSJAmY24quC0QSYA,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,2,0,0,2
singleton-0OEuk7X9WrM64hqQbedA,1,0,SINGLETON,true,false,true,false,true,1,0,1,0,1,1,0,1,0,1,3
singleton-0Orp0pwbiOU0MIg0a28r,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,1,0,0,1
singleton-0TCko19jiO1CcXl2vqsd,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,4,4,0,4,12
singleton-0ajF0d1eniugei3qRqvl,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,1,1,0,2,4
singleton-0ejTKqobP0Z7bG7iS1dF,1,0,SINGLETON,true,true,true,false,false,1,1,1,0,0,1,1,1,0,0,3
singleton-0fMloNWonp8DEQff6L2n,1,0,SINGLETON,false,false,true,false,false,0,0,1,0,0,0,0,3,0,0,3
singleton-0g77gkQGLuqJIxRBDCMC,1,0,SINGLETON,false,true,true,false,false,0,1,1,0,0,0,1,1,0,0,2
singleton-0sRAfq8grYqMA2xuCHP6,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,4,4,0,4,12
singleton-0vIelRhK7EUfEcEMkBV0,1,0,SINGLETON,false,true,true,false,true,0,1,1,0,1,0,3,3,0,3,9
