short_id,image_id,name,split,reason,contact_sheet,note
0CHrBSJA,0CHrBSJAmY24quC0QSYA,tu_px_09163_9227531.jpg,train,overview_sample,reports/figures/review_a_overview.jpg,
7ZBa5LYX,7ZBa5LYXLSg2gd59x0Nl,photo-1526924108427-294aaa2df1b2.jpg,train,overview_sample,reports/figures/review_a_overview.jpg,
DiZN18we,DiZN18wef1vuHh6pVvtI,photo-1755619063743-d4a662df5219.jpg,train,overview_sample,reports/figures/review_a_overview.jpg,
KN9YcUjf,KN9YcUjf4MbiILNfF6d1,premium_photo-1664300750264-1f0e461554a3.jpg,train,overview_sample,reports/figures/review_a_overview.jpg,
SurmZufk,SurmZufksfn5NllTtjD8,tu_px_09164_35281196.jpg,train,overview_sample,reports/figures/review_a_overview.jpg,
Yus4GG8O,Yus4GG8O9bfML35pe2Xg,photo-1622612063021-116cc3407145.jpg,train,overview_sample,reports/figures/review_a_overview.jpg,
hsfBHYaz,hsfBHYazMXnS3WJlQzR7,premium_photo-1664301167194-455b2ea6f8e7.jpg,train,overview_sample,reports/figures/review_a_overview.jpg,
pwZkhgJc,pwZkhgJcda4HLCsziTh1,photo-1668786710595-afc9d92f304e.jpg,train,overview_sample,reports/figures/review_a_overview.jpg,
0sRAfq8g,0sRAfq8grYqMA2xuCHP6,premium_photo-1663090296504-9ac2d924744a.jpg,valid,overview_sample,reports/figures/review_a_overview.jpg,
8O2JjSJC,8O2JjSJCb1ylJibwosnA,photo-1580810734868-7ea4e9130c01.jpg,valid,overview_sample,reports/figures/review_a_overview.jpg,
Dny3q3vJ,Dny3q3vJmCFOBIzhGir1,photo-1574313462720-50e62ba298d6.jpg,valid,overview_sample,reports/figures/review_a_overview.jpg,
LECJ0QrW,LECJ0QrWJeyWICbOqamy,photo-1516216628859-9bccecab13ca.jpg,valid,overview_sample,reports/figures/review_a_overview.jpg,
SA6z7RB5,SA6z7RB5PM7Ij8AwZgp1,premium_photo-1663045488413-3e33a7ac44b0.jpg,valid,overview_sample,reports/figures/review_a_overview.jpg,
Y8Qx4RUx,Y8Qx4RUxXlcq5dm2gx4n,premium_photo-1664300982961-f57190dca362.jpg,valid,overview_sample,reports/figures/review_a_overview.jpg,
iYDeCo5S,iYDeCo5SbjJugwsbVESB,photo-1556033773-e6988a371bec.jpg,valid,overview_sample,reports/figures/review_a_overview.jpg,
r3HWnAoR,r3HWnAoRdj2C2qeAdFkr,photo-1774599730788-a74cd9253b56.jpg,valid,overview_sample,reports/figures/review_a_overview.jpg,
1XJO4jpZ,1XJO4jpZ1EjuFK7M5WzU,premium_photo-1721460167347-c25682fa8511.jpg,test,overview_sample,reports/figures/review_a_overview.jpg,
8LgvW2sr,8LgvW2srLb751N5SJDxq,px_0017_8487729.jpg,test,overview_sample,reports/figures/review_a_overview.jpg,
FbZqQM7g,FbZqQM7gZbTKYNSbQPNc,photo-1636414722386-a73bd3fc368c.jpg,test,overview_sample,reports/figures/review_a_overview.jpg,
RGHYIrvH,RGHYIrvH4ypjKeh0X9jI,photo-1557089011-e00dec01a241.jpg,test,overview_sample,reports/figures/review_a_overview.jpg,
YEZrZA7G,YEZrZA7GrbvlyKBA7z5q,tu_px_09003_8487720.jpg,test,overview_sample,reports/figures/review_a_overview.jpg,
fVfuf7cW,fVfuf7cWPnRyw4D9x1vo,photo-1759159091245-fc043faacddc.jpg,test,overview_sample,reports/figures/review_a_overview.jpg,
jZRJXWZr,jZRJXWZrSuoa2xxRDSQL,photo-1591955506264-3f5a6834570a.jpg,test,overview_sample,reports/figures/review_a_overview.jpg,
