image_id,annotation_id,class,canonical_area_px,adapter_mask_iou,adapter_geometry_type,connected_components,hole_count,matched,mask_iou,confidence,predicted_area_px,false_positive_px,false_negative_px,relative_area_error,gt_normalized_contribution,band,automatic_flags,contested_fraction,overlap_resolved_iou,false_negative_contested_share
0OEuk7X9WrM64hqQbedA,3,person,534907,0.99651035,CANONICAL_POLYGON,1,0,True,0.394621,0.974053,220109,6470,321268,-0.58851,0.394621,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.556547,0.845545,0.913826
0OEuk7X9WrM64hqQbedA,4,vest_on_body,260416,0.994442917,CANONICAL_POLYGON,1,0,True,0.933054,0.987554,270362,14164,4218,0.038193,0.933054,HIGH_QUALITY_MASK,UNATTRIBUTED,0.999931,0.93304,1.0
0OEuk7X9WrM64hqQbedA,5,helmet_loose,37307,0.992098962,CANONICAL_POLYGON,1,0,False,0.0,,,,,,0.0,DETECTION_MISS,UNATTRIBUTED,1.0,0.0,
0sRAfq8grYqMA2xuCHP6,31,vest_on_body,69219,0.988268068,CANONICAL_RLE,2,0,True,0.680009,0.96391,51110,2405,20514,-0.261619,0.680009,MODERATE_MASK,UNDERSEGMENTATION,0.998772,0.680009,0.998928
0sRAfq8grYqMA2xuCHP6,32,vest_on_body,18009,0.966635875,CANONICAL_RLE,3,0,True,0.82385,0.780765,16159,725,2575,-0.102726,0.82385,HIGH_QUALITY_MASK,UNATTRIBUTED,0.990671,0.82385,0.960777
0sRAfq8grYqMA2xuCHP6,33,vest_on_body,82678,0.988547875,CANONICAL_RLE,1,0,True,0.838662,0.86645,80312,5968,8334,-0.028617,0.838662,HIGH_QUALITY_MASK,UNATTRIBUTED,0.99977,0.838662,0.99928
0sRAfq8grYqMA2xuCHP6,34,vest_on_body,15170,0.947361729,CANONICAL_RLE,4,0,True,0.64708,0.606075,17177,4469,2462,0.132301,0.64708,MODERATE_MASK,BOUNDARY_ERROR,0.99031,0.64708,0.955727
0sRAfq8grYqMA2xuCHP6,35,person,103811,0.988948532,CANONICAL_RLE,1,1,True,0.439736,0.921822,50294,3226,56743,-0.515523,0.439736,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.716832,0.542915,0.97612
0sRAfq8grYqMA2xuCHP6,36,person,50638,0.977297928,CANONICAL_RLE,5,0,True,0.448513,0.696439,29275,4531,25894,-0.421877,0.448513,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.415301,0.707805,0.798988
0sRAfq8grYqMA2xuCHP6,37,person,134249,0.991800179,CANONICAL_RLE,3,0,True,0.3172,0.898054,67060,18582,85771,-0.50048,0.3172,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.643677,0.625672,0.957841
0sRAfq8grYqMA2xuCHP6,38,person,44454,0.966937062,CANONICAL_RLE,5,0,True,0.374356,0.825424,29408,9289,24335,-0.338462,0.374356,LOW_OVERLAP_MASK,UNDERSEGMENTATION,0.431907,0.519275,0.729977
0sRAfq8grYqMA2xuCHP6,39,helmet_on_head,3216,0.948213204,CANONICAL_RLE,1,0,True,0.875422,0.629501,3453,340,103,0.073694,0.875422,HIGH_QUALITY_MASK,UNATTRIBUTED,0.994403,0.875422,0.980583
0sRAfq8grYqMA2xuCHP6,40,helmet_on_head,5414,0.972649882,CANONICAL_RLE,1,0,True,0.885997,0.88893,6034,656,36,0.114518,0.885997,HIGH_QUALITY_MASK,UNATTRIBUTED,0.975434,0.885997,0.388889
0sRAfq8grYqMA2xuCHP6,41,helmet_on_head,4280,0.966567438,CANONICAL_RLE,1,0,True,0.899464,0.840074,4581,385,84,0.070327,0.899464,HIGH_QUALITY_MASK,UNATTRIBUTED,0.973832,0.899464,0.559524
0sRAfq8grYqMA2xuCHP6,42,helmet_on_head,3892,0.959949937,CANONICAL_RLE,1,0,True,0.883562,0.766063,4083,342,151,0.049075,0.883562,HIGH_QUALITY_MASK,UNATTRIBUTED,0.964543,0.883562,0.668874
