source_image_id,annotation_id,split,class,canonical_geometry_type,canonical_area_px,reconstructed_area_px,connected_components,component_rings,joined,hole_count,hole_pixels,thinness,adapter_point_count,mask_iou,dice,control_iou,merged_iou,join_loss,serialization_loss,absolute_area_error_px,relative_area_error,signed_relative_area_error,fp_pixels,fn_pixels,bbox_max_delta_px,reason_flags
0CHrBSJAmY24quC0QSYA,1,train,person,CANONICAL_RLE,279907,280277,2,2,1,3,59,8.727560,1826,0.991956561,0.995962041,0.999789260,0.999778547,0.000010713,0.007821986,370,0.001321868,0.001321868,1316,946,1.000,RASTER_BOUNDARY_DIFFERENCE|MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION|HOLE_FILL_APPROXIMATION
0CHrBSJAmY24quC0QSYA,2,train,person,CANONICAL_RLE,25577,25594,1,1,0,0,0,6.182417,308,0.983064641,0.991460007,1.000000000,1.000000000,0.000000000,0.016935359,17,0.000664660,0.000664660,227,210,0.000,SERIALIZATION_ONLY
0Orp0pwbiOU0MIg0a28r,6,train,person,CANONICAL_RLE,414562,415130,1,1,0,15,226,7.450790,1640,0.994135546,0.997059150,0.999455143,0.999455143,0.000000000,0.005319598,568,0.001370121,0.001370121,1504,936,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
0ajF0d1eniugei3qRqvl,19,train,helmet_on_head,CANONICAL_POLYGON,14623,14891,1,1,0,0,0,4.090950,18,0.981071285,0.990445212,0.980773109,0.980773109,0.000000000,-0.000298175,268,0.018327293,0.018327293,275,7,1.000,RASTER_BOUNDARY_DIFFERENCE
0ajF0d1eniugei3qRqvl,20,train,person,CANONICAL_POLYGON,179883,181177,1,1,0,0,0,5.412302,75,0.992318983,0.996144685,0.993584785,0.993584785,0.000000000,0.001265802,1294,0.007193565,0.007193565,1343,49,1.000,RASTER_BOUNDARY_DIFFERENCE
0ajF0d1eniugei3qRqvl,21,train,vest_on_body,CANONICAL_POLYGON,48659,49089,1,1,0,0,0,6.358972,41,0.988364524,0.994148218,0.985436992,0.985436992,0.000000000,-0.002927532,430,0.008837009,0.008837009,501,71,1.000,RASTER_BOUNDARY_DIFFERENCE
0ajF0d1eniugei3qRqvl,22,train,vest_on_body,CANONICAL_POLYGON,651,709,1,1,0,0,0,4.568681,6,0.918194640,0.957352941,0.920679887,0.920679887,0.000000000,0.002485246,58,0.089093702,0.089093702,58,0,1.000,RASTER_BOUNDARY_DIFFERENCE|SMALL_MASK_SENSITIVITY
0ejTKqobP0Z7bG7iS1dF,23,train,person,CANONICAL_POLYGON,579596,581443,1,1,0,0,0,4.531526,84,0.996524685,0.998259318,0.996733083,0.996733083,0.000000000,0.000208398,1847,0.003186702,0.003186702,1934,87,1.000,RASTER_BOUNDARY_DIFFERENCE
0ejTKqobP0Z7bG7iS1dF,24,train,helmet_on_head,CANONICAL_POLYGON,95945,96462,1,1,0,0,0,4.016426,31,0.994350927,0.997167463,0.992946952,0.992946952,0.000000000,-0.001403975,517,0.005388504,0.005388504,531,14,1.000,RASTER_BOUNDARY_DIFFERENCE
0ejTKqobP0Z7bG7iS1dF,25,train,helmet_loose,CANONICAL_POLYGON,55393,55992,1,1,0,0,0,4.945192,29,0.988982340,0.994460654,0.989541058,0.989541058,0.000000000,0.000558718,599,0.010813641,0.010813641,608,9,1.000,RASTER_BOUNDARY_DIFFERENCE
0fMloNWonp8DEQff6L2n,26,train,person,CANONICAL_RLE,39440,39452,3,3,1,0,0,8.585218,626,0.976995364,0.988363839,1.000000000,0.998379911,0.001620089,0.021384547,12,0.000304260,0.000304260,465,453,1.000,MULTI_COMPONENT_APPROXIMATION|COMPONENT_JOIN_APPROXIMATION
0fMloNWonp8DEQff6L2n,27,train,person,CANONICAL_RLE,38371,38523,1,1,0,1,99,7.622497,513,0.979406389,0.989596067,0.997426566,0.997426566,0.000000000,0.018020177,152,0.003961325,0.003961325,476,324,1.000,RASTER_BOUNDARY_DIFFERENCE|HOLE_FILL_APPROXIMATION
0fMloNWonp8DEQff6L2n,28,train,person,CANONICAL_RLE,18685,18760,1,1,0,0,0,5.304477,284,0.981216931,0.990519428,1.000000000,1.000000000,0.000000000,0.018783069,75,0.004013915,0.004013915,215,140,1.000,SERIALIZATION_ONLY
