source_image_id,source_name,v4_split,v4_image_id_or_filename,v4_coco_image_id,mapping_method,mapping_confidence,is_augmented,candidates,selected_mae,rejected_mae,notes
0CHrBSJAmY24quC0QSYA,tu_px_09163_9227531.jpg,train,tu_px_09163_9227531_jpg.rf.bf462b3ed9af575ce31030f517cc3925.jpg,379,exact_name,high,false,2,1.9148,63.6844,pristine 1.91 vs augmented 63.68
0OEuk7X9WrM64hqQbedA,px_0011_28196526.jpg,train,px_0011_28196526_jpg.rf.7c1508b0b9aad8f57c68e3400460aa7c.jpg,311,exact_name,high,false,2,2.3173,70.9620,pristine 2.32 vs augmented 70.96
0Orp0pwbiOU0MIg0a28r,tu_px_09159_30572791.jpg,train,tu_px_09159_30572791_jpg.rf.289caf4df5f6315be0d2278aabc62b79.jpg,322,exact_name,high,false,2,2.2289,46.4554,pristine 2.23 vs augmented 46.46
0TCko19jiO1CcXl2vqsd,premium_photo-1663054541741-0276bdf1808b.jpg,train,premium_photo-1663054541741-0276bdf1808b_jpg.rf.1621ed0e55f5de2beaa6d54e48b9cab1.jpg,387,exact_name,high,false,2,2.7939,69.7194,pristine 2.79 vs augmented 69.72
0ajF0d1eniugei3qRqvl,px_0016_9258892.jpg,train,px_0016_9258892_jpg.rf.30b19624d6dd2044456ee9dd9454b8d7.jpg,415,exact_name,high,false,2,4.3838,84.0365,pristine 4.38 vs augmented 84.04
0ejTKqobP0Z7bG7iS1dF,premium_photo-1680658081728-5ed42001028d.jpg,train,premium_photo-1680658081728-5ed42001028d_jpg.rf.f3657a8924d527e860222cfc9aafea31.jpg,350,exact_name,high,false,2,2.1012,88.7629,pristine 2.10 vs augmented 88.76
0fMloNWonp8DEQff6L2n,photo-1581091212991-8891c7d4bd9b.jpg,train,photo-1581091212991-8891c7d4bd9b_jpg.rf.f92efe88766fbdd4d72a40aaaa25246c.jpg,414,exact_name,high,false,2,2.8735,46.0935,pristine 2.87 vs augmented 46.09
0g77gkQGLuqJIxRBDCMC,photo-1769422837020-ea7251eb708d.jpg,train,photo-1769422837020-ea7251eb708d_jpg.rf.d062a609d7b68e7f11bf75cc1f89502e.jpg,364,exact_name,high,false,2,0.7396,12.2215,pristine 0.74 vs augmented 12.22
0sRAfq8grYqMA2xuCHP6,premium_photo-1663090296504-9ac2d924744a.jpg,valid,premium_photo-1663090296504-9ac2d924744a_jpg.rf.695dcb30c6b2341e21d8cd96ecd7d8ab.jpg,1,exact_name,high,false,1,2.2575,,single export record; matches the deterministic re-render
0vIelRhK7EUfEcEMkBV0,photo-1694521787193-9293daeddbaa.jpg,train,photo-1694521787193-9293daeddbaa_jpg.rf.a8ba220150ef7c667c57660e1b1f9ab9.jpg,377,exact_name,high,false,2,2.1655,52.7120,pristine 2.17 vs augmented 52.71
1BVaqcupKpVSmlh5tncK,photo-1617118600610-dcdf743b3dfc.jpg,train,photo-1617118600610-dcdf743b3dfc_jpg.rf.09cef595092057cd851bcf621a9a1a84.jpg,381,exact_name,high,false,2,2.1292,85.4626,pristine 2.13 vs augmented 85.46
1XJO4jpZ1EjuFK7M5WzU,premium_photo-1721460167347-c25682fa8511.jpg,test,premium_photo-1721460167347-c25682fa8511_jpg.rf.3fcf7c053327154729a0910b46071db8.jpg,1,exact_name,high,false,1,1.4391,,single export record; matches the deterministic re-render
1dnS0NtMgQN35Eb4GNTe,photo-1777891733988-540ac2abbd40.jpg,train,photo-1777891733988-540ac2abbd40_jpg.rf.342da2f9ebe820dafc772bd326ff865f.jpg,417,exact_name,high,false,2,2.8166,50.3935,pristine 2.82 vs augmented 50.39
1zBF8eW6TRm4IBAb3Kwv,un_0197_fjYsdQIFPb0.jpg,train,un_0197_fjYsdQIFPb0_jpg.rf.440b552c41af650dce64ed0b4d081649.jpg,427,exact_name,high,false,2,4.9063,86.9295,pristine 4.91 vs augmented 86.93
2Qh4yEmcE64JRJXTM10C,tu_un_09116_8Z3yOkt2Pb4.jpg,train,tu_un_09116_8Z3yOkt2Pb4_jpg.rf.505a5748f7e2c3ab2ad6ddb131be5163.jpg,384,exact_name,high,false,2,1.8482,75.5951,pristine 1.85 vs augmented 75.60
2estUvSXu4usdh4plcAm,premium_photo-1661609600871-9cb2081d68f2.jpg,train,premium_photo-1661609600871-9cb2081d68f2_jpg.rf.a848efaf3b7ed89ba440d315608f9816.jpg,439,exact_name,high,false,2,2.9386,76.0439,pristine 2.94 vs augmented 76.04
2qD9FzEoqf4Rsihf6kf7,tu_px_09050_9733798.jpg,train,tu_px_09050_9733798_jpg.rf.19b48964628f8013dc1736509d7f9e2c.jpg,402,exact_name,high,false,2,2.0144,52.4091,pristine 2.01 vs augmented 52.41
35kJU6sOxBnL8qucfgHx,premium_photo-1725898345872-ee08c29fcd38.jpg,train,premium_photo-1725898345872-ee08c29fcd38_jpg.rf.1981c0c1c6244208a6bec7f71187bc2a.jpg,556,exact_name,high,false,2,2.7716,33.2508,pristine 2.77 vs augmented 33.25
3INKyAoeOEbPQKuxINbX,photo-1556033773-f4be30dd8eb2.jpg,train,photo-1556033773-f4be30dd8eb2_jpg.rf.86397f9578e86dc9ec4a800f2d6a85b5.jpg,479,exact_name,high,false,2,1.9684,53.2983,pristine 1.97 vs augmented 53.30
3LUOWEww9aCx2Cx4B38y,un_0126_6tAIO3pxde4.jpg,train,un_0126_6tAIO3pxde4_jpg.rf.30aeb602158dd53c822c833460a6a5f5.jpg,442,exact_name,high,false,2,3.3372,64.7625,pristine 3.34 vs augmented 64.76
3wdTWWyA3a9YrQ9EfLc9,photo-1622612023350-b15f063eabe6.jpg,train,photo-1622612023350-b15f063eabe6_jpg.rf.a31cece3270d8eb4740d42739b48f822.jpg,496,exact_name,high,false,2,1.4927,54.3007,pristine 1.49 vs augmented 54.30
4UEcuYsspsOsSV0XYgSR,photo-1617118600471-ecc90bdb4db0.jpg,valid,photo-1617118600471-ecc90bdb4db0_jpg.rf.9331196cac22c50f177b8596e4e79137.jpg,2,exact_name,high,false,1,1.8311,,single export record; matches the deterministic re-render
4XETInqs70Y4H9ry55k3,wm_0044_Špejchar_zastávka_linky_745.jpg,train,wm_0044_Spejchar_zastavka_linky_745_jpg.rf.13a8688c2a81074c3d1fc591f0deafe1.jpg,446,normalised_name,high,false,2,4.4897,65.1382,pristine 4.49 vs augmented 65.14
4ajEucaVD61th8hqHdux,un_0151_FPwuazVg4O8.jpg,train,un_0151_FPwuazVg4O8_jpg.rf.382942c10d0a9e750cf67b64430445b9.jpg,428,exact_name,high,false,2,2.6953,93.4632,pristine 2.70 vs augmented 93.46
4baqXpqm2eXB2CHZWkM9,photo-1606857521015-7f9fcf423740.jpg,train,photo-1606857521015-7f9fcf423740_jpg.rf.7920bdcc9f6fd71b9b35bfc0f833bcd8.jpg,485,exact_name,high,false,2,2.5762,70.3091,pristine 2.58 vs augmented 70.31
4ezyg6KhKI36ubNpMX1z,photo-1640236889867-2bf2c34f7d8f.jpg,train,photo-1640236889867-2bf2c34f7d8f_jpg.rf.a2d81e7604c298ca57b6e9fc6c9a717d.jpg,480,exact_name,high,false,2,2.9212,57.9966,pristine 2.92 vs augmented 58.00
5fj7MBBP6mq9NtLfV51m,un_0097_yh7VODxI0B0.jpg,train,un_0097_yh7VODxI0B0_jpg.rf.94ed0471e9f08cb4cf2a9ae1db6663b9.jpg,491,exact_name,high,false,2,1.5598,57.0089,pristine 1.56 vs augmented 57.01
5p4hDwmBcrn3EI04GmlA,px_0069_8486910.jpg,test,px_0069_8486910_jpg.rf.638f988c158fbf39b735782fc06abffc.jpg,13,exact_name,high,false,1,1.6802,,single export record; matches the deterministic re-render
5tvMIxMJkb5Hp9bD8hBw,un_0062_MaZONp3WA3g.jpg,train,un_0062_MaZONp3WA3g_jpg.rf.861f8e8241034e5b4bcead1e61cd0fe4.jpg,469,exact_name,high,false,2,1.8351,57.1956,pristine 1.84 vs augmented 57.20
5xqkoD8kcbQ7JWIll2KF,photo-1541888967080-c956a48eaad2.jpg,train,photo-1541888967080-c956a48eaad2_jpg.rf.6b83954ff8c527ce62394a7a50fca4ff.jpg,574,exact_name,high,false,2,3.5364,66.2522,pristine 3.54 vs augmented 66.25
5z8XJfD2gto4gT3gwPAK,photo-1775880303796-9276506c5395.jpg,test,photo-1775880303796-9276506c5395_jpg.rf.5f3d1599b75abb2e489443195578ac2b.jpg,20,exact_name,high,false,1,2.7424,,single export record; matches the deterministic re-render
60TqAIaOldetEAmBqqMX,photo-1707553031504-98d859ef2e16.jpg,test,photo-1707553031504-98d859ef2e16_jpg.rf.5a879bc25e97776258dba9a49af552dd.jpg,14,exact_name,high,false,1,1.3235,,single export record; matches the deterministic re-render
